2026-04-04 18:05:13,277 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:14,949 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:16,406 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:17,769 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:19,324 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:20,732 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:22,193 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:23,851 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:25,526 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:27,127 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:29,051 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:30,772 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:32,073 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:33,545 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:34,992 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:36,351 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:37,879 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:40,082 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:42,170 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:43,728 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:05:45,303 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:22,149 | INFO | Low variance removed: 11 features
2026-04-04 18:22:23,281 | INFO | Highly correlated dropped: 21 features
2026-04-04 18:22:23,281 | INFO | Features retained after selection: 46
2026-04-04 18:22:24,001 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:26,016 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:28,240 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:29,872 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:31,340 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:33,344 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:35,646 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:37,795 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:39,985 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:42,028 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:43,948 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:45,462 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:47,130 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:48,904 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:50,716 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:52,497 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:55,238 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:57,089 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:22:58,873 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:00,417 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:01,936 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:03,589 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:06,060 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:08,475 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:10,981 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:12,970 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:14,582 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:16,720 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:18,661 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:20,650 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:22,598 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:23,908 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:25,609 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:27,260 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:29,197 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:31,595 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:35,125 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:37,285 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:38,610 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:41,535 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:44,296 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:46,126 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:49,030 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:51,611 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:54,079 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:56,557 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:23:58,592 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:01,126 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:04,342 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:07,794 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:09,704 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:11,285 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:12,803 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:13,912 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:15,484 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:17,308 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:18,907 | INFO |   apply_feature_selector: dropped 32 columns
2026-04-04 18:24:20,598 | INFO |   apply_feature_selector: dropped 32 columns
